Date,Open,High,Low,Close,Adj Close,Volume
02/10/2013,69.38,70.257141,69.10714,69.937141,57.72591,72296000
03/10/2013,70.07,70.335716,68.677139,69.058571,57.00074,80688300
04/10/2013,69.12,69.228569,68.371429,69.004288,56.955944,64717100
07/10/2013,69.51,70.378571,69.335716,69.678574,57.512489,78073100
08/10/2013,69.99,70.091431,68.648575,68.705711,56.709492,72729300
09/10/2013,69.23,69.684288,68.325714,69.512856,57.375713,75431300
10/10/2013,70.19,70.339996,69.577141,69.94857,57.735344,69650700
11/10/2013,69.57,70.548569,69.308571,70.401428,58.109135,66934700
14/10/2013,69.98,71.082855,69.907143,70.862854,58.489994,65474500
15/10/2013,71.07,71.714287,70.788574,71.239998,58.801285,80018400
16/10/2013,71.54,71.790001,71.318573,71.587143,59.087814,62775300
17/10/2013,71.43,72.111427,71.382858,72.071426,59.487545,63398300
18/10/2013,72.28,72.751427,72.244286,72.69857,60.005184,72635500
21/10/2013,73.11,74.900002,73.074287,74.480003,61.475567,99526700
22/10/2013,75.20,75.492859,72.575714,74.267143,61.29987,133515900
23/10/2013,74.14,75.095711,74.14286,74.994286,61.900055,78430800
24/10/2013,75.00,76.067146,74.635712,75.987144,62.71957,96191200
25/10/2013,75.90,76.175713,75.015717,75.137146,62.017982,84448000
28/10/2013,75.58,75.85714,74.744286,75.697144,62.480202,137610200
29/10/2013,76.61,77.035713,73.505714,73.811432,60.923729,158951800
30/10/2013,74.23,75.360001,73.860001,74.985718,61.892994,88540900
31/10/2013,75.00,75.355713,74.46714,74.671425,61.633568,68924100
01/11/2013,74.86,74.971428,73.691429,74.290001,61.318752,68722500
04/11/2013,74.44,75.260002,74.115715,75.25,62.111134,61156900
05/11/2013,74.94,75.555717,74.714287,75.064285,61.957836,66303300
06/11/2013,74.88,74.980003,74.028572,74.417145,64.025131,55843900
07/11/2013,74.23,74.741432,73.197144,73.21286,62.989044,65655100
08/11/2013,73.51,74.447144,73.227142,74.365715,63.980896,69829200
11/11/2013,74.28,74.524284,73.487144,74.150002,63.795311,56863100
12/11/2013,73.95,74.845711,73.85714,74.28714,63.913284,51069200
13/11/2013,74.00,74.60714,73.851425,74.375717,63.98951,49305200
14/11/2013,74.69,75.611427,74.552856,75.451431,64.915001,70604800
15/11/2013,75.23,75.584282,74.927139,74.998573,64.525375,79480100
18/11/2013,75.00,75.312859,74.028572,74.089996,63.743679,61236000
19/11/2013,74.15,74.76857,73.995712,74.221428,63.85675,52234700
20/11/2013,74.18,74.345711,73.475716,73.571426,63.297546,48479200
21/11/2013,73.94,74.458572,73.381432,74.44857,64.052185,65506700
22/11/2013,74.22,74.594284,74.075714,74.257141,63.887493,55931400
25/11/2013,74.43,75.124283,74.428574,74.82,64.371765,57327900
26/11/2013,74.87,76.591431,74.85714,76.199997,65.559044,100345700
27/11/2013,76.62,78,76.199997,77.994286,67.102768,90862100
29/11/2013,78.50,79.761429,78.258568,79.438568,68.34536,79531900
02/12/2013,79.71,80.618568,78.688568,78.747147,67.750488,118136200
03/12/2013,79.76,80.91143,79.668571,80.902855,69.605171,112742000
04/12/2013,80.79,81.312859,80.117142,80.714287,69.442917,94452400
05/12/2013,81.81,82.162857,80.915718,81.128571,69.799377,111895000
06/12/2013,80.83,80.964287,79.938568,80.002853,68.830841,86088100
09/12/2013,80.13,81.368568,80.128571,80.918571,69.618683,80123400
10/12/2013,80.51,81.125717,80.171425,80.792854,69.510536,69567400
11/12/2013,81.00,81.567146,79.955711,80.194283,68.995529,89929700
12/12/2013,80.31,80.762856,80.004288,80.077141,68.894753,65572500
13/12/2013,80.41,80.41143,79.095711,79.204285,68.143784,83205500
16/12/2013,79.29,80.377144,79.28714,79.64286,68.521141,70648200
17/12/2013,79.40,79.919998,79.054283,79.284286,68.212624,57475600
18/12/2013,78.53,78.778572,76.971428,78.681427,67.693947,141465800
19/12/2013,78.50,78.571426,77.675713,77.779999,66.918411,80077200
20/12/2013,77.92,78.80143,77.831429,78.431427,67.478859,109103400
23/12/2013,81.14,81.531425,80.394287,81.441429,70.068535,125326600
24/12/2013,81.41,81.697144,80.861427,81.095711,69.77108,41888700
26/12/2013,81.16,81.35714,80.482857,80.557144,69.307716,51002000
27/12/2013,80.55,80.629997,79.928574,80.012856,68.839447,56471100
30/12/2013,79.64,80.012856,78.902855,79.21714,68.154846,63407400
31/12/2013,79.17,80.182854,79.14286,80.145714,68.953743,55771100
02/01/2014,79.38,79.575714,78.860001,79.01857,67.984016,58671200
03/01/2014,78.98,79.099998,77.204285,77.28286,66.490685,98116900
06/01/2014,76.78,78.114288,76.228569,77.704285,66.853249,103152700
07/01/2014,77.76,77.994286,76.845711,77.148575,66.375145,79302300
08/01/2014,76.97,77.937141,76.955711,77.637146,66.795509,64632400
09/01/2014,78.11,78.122856,76.478569,76.645714,65.942513,69787200
10/01/2014,77.12,77.257141,75.872856,76.134285,65.50251,76244000
13/01/2014,75.70,77.5,75.697144,76.53286,65.845413,94623200
14/01/2014,76.89,78.104286,76.808571,78.055717,67.155609,83140400
15/01/2014,79.07,80.028572,78.808571,79.622856,68.503906,97909700
16/01/2014,79.27,79.550003,78.811432,79.178574,68.121674,57319500
17/01/2014,78.78,78.867142,77.128571,77.238571,66.452576,106684900
21/01/2014,77.28,78.581429,77.202858,78.438568,67.485001,82131700
